company,industry,employees,li_employees,position,req_id,location,applied_on,status_date,status
Textron,Aviation and Aerospace Component Manufacturing,"10,001+",25584,"2025 Internship - Software Engineer - Flight Dynamics (TRU Simulation Training - Lutz, FL)",327464,"Lutz, FL",2025-01-02 17:32:10,,pending
Cboe Global Markets,Financial Services,"1,001-5,000",1710,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/careers.cboe.com/us/en/job/CBJCGMUSR3741EXTERNALENUS"",""Cloud Engineering Intern, Co-op"")",R-3657,"Chicago, IL",2025-01-02 17:41:56,,pending
Otsuka Pharmaceutical Companies (U.S.),Pharmaceutical Manufacturing,"1,001-5,000","3,540","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/vhr-otsuka.wd1.myworkdayjobs.com/en-US/External/job/Princeton/Intern-the-Otsuka-Way-2025---Full-stack-Engineer-Data---Analytics-Intern_R8351"",""Intern the Otsuka Way 2025 - Full stack Engineer Data & Analytics Intern"")",R8351,"Princeton, NJ",2025-01-02 18:44:31,,pending
Merz Aesthetics,Pharmaceutical Manufacturing,"1,001-5,000","2,430","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/careers.merzaesthetics.com/us/en/job/MNAMNAUSSALES003894EXTERNALENUS"",""Salesforce Developer Summer Intern"")",SALES003894,"Raleigh, NC",2025-01-02 19:14:48,,pending
WayUp,"Technology, Information and Internet",51-200,81,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/www.wayup.com/i-Telecommunications-j-2025-Summer-Intern-Assoc-DevOps-Engineer-Spectrum-967034740465424"",""Spectrum, 2025 Summer Intern: Assoc DevOps Engineer - Application via WayUp"")",967034740465424,"Maryland Heights, MO",2025-01-02 19:31:07,,pending
WayUp,"Technology, Information and Internet",51-200,81,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/www.wayup.com/i-Telecommunications-j-2025-Summer-Intern-Software-Engineer-Spectrum-995472925042946"",""Spectrum, 2025 Summer Intern: Software Engineer - Application via WayUp"")",995472925042946,"St Louis, MO",2025-01-02 19:32:32,,pending
WayUp,"Technology, Information and Internet",51-200,81,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/www.wayup.com/i-Financial-Services-j-Software-Engineering-and-Data-Intern-Hybrid-3-Days-in-Office-Freddie-Mac-342143549158455"",""Freddie Mac, Software Engineering and Data Intern (Hybrid - 3 Days in Office) - Application via WayUp"")",342143549158455,"McLean, VA",2025-01-02 19:35:47,,pending
Textron,Aviation and Aerospace Component Manufacturing,"10,001+","25,584","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/careers.textron.com/lutz-fl/2025-internship-software-engineer-simulator-systems-tru-simulation-training-lutz-fl"",""2025 Internship - Software Engineer - Simulator Systems (TRU Simulation Training - Lutz, FL)"")",325204,"Lutz, FL",2025-01-02 19:42:40,,pending
Centerfield,Advertising Services,"1,001-5,000","1,243","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/jobs.lever.co/centerfield/bed26b9e-48e7-476e-a6a2-0f1e0a91053c"",""Software Engineer Intern"")",,"Los Angeles, CA",2025-01-02 19:49:08,,pending
Flow,Software Development,51-200,73,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/www.linkedin.com/jobs/view/4114705973"",""Senior Deep Learning Engineer Intern (January 2025 Start)"")",4114705973,United States,2025-01-02 20:17:13,,pending
Net Health,Software Development,"501-1,000",596,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/recruiting.ultipro.com/NET1005/JobBoard/b22acd37-08dd-cbc0-295a-dc154ea3fb93"",""Software Engineering Co-op - Remote"")",SOFTW002584,"Pittsburgh, PA",2025-01-02 20:28:49,,pending
Daktronics,Manufacturing,"1,001-5,000","2,379","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/careers-daktronics.icims.com/jobs/6662"",""Software Design Student"")",2024-6662,"Brookings, SD",2025-01-02 20:37:43,,pending
Textron,Aviation and Aerospace Component Manufacturing,"10,001+","25,584","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/textron.taleo.net/careersection/textron_ur/jobdetail.ftl(c63)src=SNS-102&job=1419187"",""2025 Internship - Software Engineer - Flight Dynamics (TRU Simulation + Training - Lutz, FL)"")",1419187,"Lutz, FL",2025-01-02 20:54:12,,pending
Blue Cross NC,Insurance,"5,001-10,000","5,919","=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/bcbsnc.wd5.myworkdayjobs.com/BCBSNC/job/Remote---North-Carolina/XMLNAME-net-Developer-Intern_RQ0016377"","".net Developer Intern"")",RQ0016377,United States,2025-01-02 21:02:05,,pending
Delta Electronics Americas,"Appliances, Electrical, and Electronics Manufacturing",201-500,607,"=HYPERLINK(""https://rapidmovies.github.io/JobDescriptions/site/www.linkedin.com/jobs/view/4115180258"",""Solutions Engineer - Intern (Plano, TX)"")",4115180258,"Plano, TX",2025-01-02 21:05:08,,pending
